id,workload,stage,operator,shape_args,reason,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status,rtl_compute_cycles,rtl_weight_load_cycles,rtl_activation_load_cycles,rtl_output_store_cycles,rtl_config_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles,rtl_total_cycles,rtl_latency_us,rtl_useful_macs,rtl_padded_macs,rtl_compute_utilization,rtl_m_blocks,rtl_k_blocks,rtl_n_blocks,rtl_model_note,rtl_speedup_vs_pytorchsim_baseline,dataset,shape_desc,max_expected_runtime_s
trace_gemm_001,Synthetic_UNet2DCondition_trace,time_embedding.linear_1,gemm,1 64 256,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_001.log,1,623,623,0.6627659574468086,4.666201,120.9,0.16,2.57,157,2240,264,ok,64,512,2,8,40,0,7,567,0.6031914893617021,16384,262144,0.0625,1,2,8,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,1.0987654320987654,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_gemm_002,Synthetic_UNet2DCondition_trace,time_embedding.linear_2,gemm,1 256 256,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_002.log,1,1101,1101,1.171276595744681,5.217135,252.44,0.18,1.45,579,8976,264,ok,256,2048,8,8,40,0,7,2103,2.2372340425531916,65536,1048576,0.0625,1,8,8,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.5235378031383737,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_conv_003,Synthetic_UNet2DCondition_trace,conv_in,conv,1 32 32 4 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_003.log,1,6118,6118,6.508510638297873,4.141812,71.01,75.32,2.75,1002,6250,8192,ok,1024,72,1152,2048,34,256,64,3554,3.7808510638297874,2359296,4194304,0.5625,64,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,1.7214406302757457,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_004,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_004.log,1,6796,6796,7.229787234042553,5.341181,172.46,67.8,2.18,2483,30771,8192,ok,9216,1152,18432,2048,34,256,64,20834,22.163829787234043,37748736,37748736,1.0,64,18,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.3261975616780263,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_gemm_005,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_005.log,1,656,656,0.6978723404255319,4.472764,108.95,0.15,1.07,149,2312,64,ok,64,512,8,2,34,0,1,549,0.5840425531914893,16384,262144,0.0625,1,8,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,1.1948998178506376,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_conv_006,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_006.log,1,2117,2117,2.252127659574468,4.136857,247.35,24.185000000000002,7.27,1088,9216,8192,ok,1024,128,2048,2048,34,0,64,4194,4.461702127659574,4194304,4194304,1.0,64,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.5047687172150691,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_gemm_007,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_007.log,1,1804,1804,1.9191489361702128,4.110266,290.26,28.38,8.09,1088,9216,8192,ok,1024,128,2048,2048,34,0,1,4131,4.39468085106383,4194304,4194304,1.0,64,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.4366981360445413,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_gemm_008,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_008.log,1,1694,1694,1.8021276595744682,7.187293,258.25,13.635,1.59,909,13904,640,ok,960,1536,1848,154,34,0,1,2037,2.1670212765957446,3784704,3932160,0.9625,5,24,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.8316151202749141,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_gemm_009,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_009.log,1,6802,6802,7.236170212765957,6.745598,362.27,30.11,8.41,5120,16384,65536,ok,8192,1024,2048,16384,48,0,15,24767,26.347872340425532,33554432,33554432,1.0,64,2,16,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.2746396414583922,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_010.log,1,3611,3611,3.8414893617021275,4.558707,375.32,28.36,4.04,2816,36864,8192,ok,4096,512,8192,2048,34,0,1,10275,10.930851063829786,16777216,16777216,1.0,64,8,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.3514355231143552,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_011.log,1,2745,2745,2.9202127659574466,4.80463,223.37,41.97,1.46,1274,18336,2048,ok,2304,1152,4608,512,34,64,16,5234,5.568085106382979,9437184,9437184,1.0,16,18,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.5244554833779136,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_012.log,1,2292,2292,2.4382978723404256,4.002531,178.42,50.260000000000005,1.75,875,11547,2048,ok,2304,1152,4608,512,34,64,16,5234,5.568085106382979,9437184,9437184,1.0,16,18,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.4379059992357661,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_013.log,1,999,999,1.0627659574468085,3.440178,156.09,12.81,4.8,324,3072,2112,ok,256,128,512,512,34,0,16,1074,1.1425531914893616,1048576,1048576,1.0,16,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.9301675977653632,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_014.log,1,940,940,1.0,4.608492,147.46,13.62,4.26,288,2560,2048,ok,256,128,512,512,34,0,1,1059,1.126595744680851,1048576,1048576,1.0,16,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.8876298394711992,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_015.log,1,2131,2131,2.2670212765957447,6.087452,346.9,24.03,6.76,1536,8192,16384,ok,2048,1024,512,4096,48,0,15,6335,6.73936170212766,8388608,8388608,1.0,16,2,16,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.33638516179952643,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_016.log,1,1513,1513,1.6095744680851063,5.852205,249.39,16.92,3.57,784,10496,2048,ok,1024,512,2048,512,34,0,1,2595,2.7606382978723403,4194304,4194304,1.0,16,8,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.5830443159922929,synthetic_unet_trace,Linear is mapped to GEMM M K N.,300
trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_017.log,1,2877,2877,3.0606382978723405,4.359859,262.3,40.04,1.18,1568,23040,2048,ok,4608,2304,9216,512,34,64,16,9842,10.470212765957447,18874368,18874368,1.0,16,36,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.2923186344238976,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_018.log,1,1120,1120,1.1914893617021276,3.478541,192.51,11.43,3.04,448,5120,2048,ok,512,256,1024,512,34,0,16,1586,1.6872340425531915,2097152,2097152,1.0,16,4,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.7061790668348046,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_019,Synthetic_UNet2DCondition_trace,up_blocks.1.resnets.0.conv1,conv,1 32 32 128 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_019.log,1,8001,8001,8.511702127659575,5.779859,307.98,57.59,2.02,5120,73728,8192,ok,18432,2304,36864,2048,34,256,64,39266,41.772340425531915,75497472,75497472,1.0,64,36,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.20376407069729538,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_020,Synthetic_UNet2DCondition_trace,up_blocks.1.resnets.0.conv_shortcut,conv,1 32 32 128 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_020.log,1,2206,2206,2.3468085106382977,4.267188,363.03,23.21,6.98,1664,18432,8192,ok,2048,256,4096,2048,34,0,64,6242,6.640425531914894,8388608,8388608,1.0,64,4,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.35341236783082347,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_021,Synthetic_UNet2DCondition_trace,conv_out,conv,1 32 32 64 4 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_021.log,1,6246,6246,6.64468085106383,5.059508,133.7,73.78,2.37,1783,26739,1024,ok,4608,72,18432,128,33,128,0,18721,19.91595744680851,2359296,18874368,0.125,64,18,1,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.33363602371668183,synthetic_unet_trace,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
